證券代號,證券名稱,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
"0050","元大台灣50","6061114","728092733","120.35","120.50","119.80","120.35","-0.3000","10622"
"0051","元大中型100","55456","3259413","58.65","58.95","58.60","58.80","0.1500","165"
"0052","富邦科技","306828","32935420","107.80","107.80","107.00","107.55","-0.3500","517"
"0053","元大電子","8862","532249","60.00","60.40","59.95","60.10","-0.7000","1019"
"0055","元大MSCI金融","154619","3469582","22.42","22.50","22.40","22.42","0.0000","313"
"0056","元大高股息","14936886","429842588","28.74","28.82","28.72","28.80","0.0600","12555"
"0057","富邦摩台","3171","276094","87.30","87.30","87.20","87.20","-0.5500","1004"
"0061","元大寶滬深","132812","2596947","19.60","19.61","19.41","19.61","0.2300","1050"
"006203","元大MSCI台灣","8903","515382","57.95","58.20","57.90","58.20","-0.0500","1018"
"006204","永豐臺灣加權","27330","2186583","80.15","80.15","79.85","80.05","-0.1000","1010"
"006205","富邦上証","1278673","41737556","32.39","32.77","32.28","32.76","0.3800","392"
"006206","元大上證50","128773","3959079","30.60","30.97","30.28","30.97","0.3800","1042"
"006207","復華滬深","110623","2840943","25.59","25.81","25.54","25.81","0.2200","991"
"006208","富邦台50","4972958","346348944","69.85","69.85","69.40","69.75","-0.1000","7291"
"00625K","富邦上証+R","","","","","","","0.0000",""
"00631L","元大台灣50正2","1903770","224033025","117.40","118.30","117.10","118.00","-0.4500","1298"
"00632R","元大台灣50反1","57521893","299246868","5.20","5.22","5.19","5.20","0.0100","2706"
"00633L","富邦上証正2","7769076","304513200","38.41","39.66","38.24","39.66","1.3000","2341"
"00634R","富邦上証反1","265000","1164890","4.41","4.41","4.38","4.38","-0.0700","34"
"00635U","期元大S&P黃金","1012242","25649076","25.32","25.40","25.26","25.38","-0.4700","418"
"00636","國泰中國A50","1376574","29930359","21.60","21.83","21.48","21.83","0.2100","1147"
"00636K","國泰中國A50+U","200","1430","7.15","7.15","7.15","7.15","0.0400","2"
"00637L","元大滬深300正2","105223383","1623751289","15.14","15.61","15.08","15.61","0.4900","11460"
"00638R","元大滬深300反1","4899215","45554045","9.40","9.40","9.26","9.26","-0.0800","111"
"00639","富邦深100","424111","5574284","13.11","13.21","13.05","13.16","0.0600","1044"
"00640L","富邦日本正2","92279","2870930","31.00","31.18","31.00","31.17","0.1700","50"
"00641R","富邦日本反1","561070","5113917","9.12","9.13","9.10","9.11","-0.0200","98"
"00642U","期元大S&P石油","1723330","29956718","17.41","17.42","17.35","17.38","0.0100","515"
"00643","群益深証中小","206931","3184395","15.51","15.51","15.37","15.41","0.0000","47"
"00643K","群益深証中小+R","","","","","","","0.0000",""
"00645","富邦日本","133299","3626704","27.17","27.28","27.17","27.28","0.1000","918"
