證券代號,證券名稱,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
"0050","元大台灣50","5572977","655524087","117.45","118.00","117.10","117.70","0.3000","9964"
"0051","元大中型100","30431","1756834","57.50","57.90","57.45","57.90","0.5000","135"
"0052","富邦科技","177041","17809427","100.35","101.00","100.00","100.70","0.4000","299"
"0053","元大電子","9104","533035","58.55","58.75","58.50","58.75","0.3000","8"
"0055","元大MSCI金融","104235","2331898","22.32","22.40","22.32","22.39","0.0800","251"
"0056","元大高股息","14076807","399222255","28.25","28.44","28.20","28.44","0.2100","8898"
"0057","富邦摩台","1034","88272","85.35","85.35","85.35","85.35","0.2000","4"
"0061","元大寶滬深","69799","1333134","19.10","19.23","19.07","19.10","0.0000","516"
"006203","元大MSCI台灣","4354","246707","56.80","56.95","56.80","56.80","0.0000","993"
"006204","永豐臺灣加權","25496","2004828","78.25","78.75","78.25","78.70","0.4500","1007"
"006205","富邦上証","1682273","54021696","32.16","32.30","32.02","32.15","0.0200","165"
"006206","元大上證50","77822","2361778","30.60","30.64","30.33","30.34","-0.0800","838"
"006207","復華滬深","335360","8462460","25.16","25.27","25.16","25.21","0.0500","34"
"006208","富邦台50","3498125","238058847","68.00","68.25","67.75","68.05","0.1000","5237"
"00625K","富邦上証+R","","","","","","","0.0000",""
"00631L","元大台灣50正2","2814247","319366605","113.05","114.15","112.55","113.75","0.9000","1697"
"00632R","元大台灣50反1","94564181","499984419","5.30","5.31","5.27","5.28","-0.0300","4577"
"00633L","富邦上証正2","4641270","180392542","38.90","39.43","38.46","38.82","0.0800","1234"
"00634R","富邦上証反1","605000","2677540","4.41","4.45","4.41","4.44","-0.0100","17"
"00635U","期元大S&P黃金","559757","14042437","25.08","25.11","25.06","25.09","-0.0400","183"
"00636","國泰中國A50","1098517","23724392","21.60","21.77","21.51","21.61","0.0100","1246"
"00636K","國泰中國A50+U","200","1404","7.02","7.02","7.02","7.02","-0.0400","2"
"00637L","元大滬深300正2","42171716","645655885","15.34","15.54","15.17","15.30","0.0200","5351"
"00638R","元大滬深300反1","360000","3380320","9.37","9.43","9.32","9.39","0.0200","22"
"00639","富邦深100","997741","12645836","12.75","12.78","12.65","12.69","-0.0200","655"
"00640L","富邦日本正2","444079","14497975","32.56","32.79","32.50","32.70","0.7300","103"
"00641R","富邦日本反1","2136000","19076280","8.95","8.96","8.91","8.92","-0.1100","387"
"00642U","期元大S&P石油","3055978","48965549","16.03","16.05","16.00","16.03","0.1300","835"
"00643","群益深証中小","565883","8372705","14.80","14.85","14.74","14.77","0.0000","913"
"00643K","群益深証中小+R","","","","","","","0.0000",""
"00645","富邦日本","221085","6167306","27.80","27.95","27.80","27.90","0.2600","524"
"00646","元大S&P500","541967","21427740","39.45","39.60","39.45","39.57","0.3800","576"
"00647L","元大S&P500正2","193407","10988704","56.70","56.95","56.60","56.95","1.1500","70"
"00648R","元大S&P500反1","7046013","49513613","7.03","7.03","7.02","7.03","-0.0600","846"
"00650L","復華香港正2","13086590","174382366","13.38","13.72","13.04","13.35","0.0500","1898"
"00651R","復華香港反1","1344080","11148668","8.32","8.43","8.23","8.35","-0.0100","78"
"00652","富邦印度","370355","11084077","29.89","29.95","29.88","29.93","0.3100","353"
"00653L","富邦印度正2","831582","36322647","43.36","43.78","43.36","43.69","0.9900","347"
"00654R","富邦印度反1","329000","2605750","7.94","7.94","7.91","7.93","-0.0900","49"
"00655L","國泰中國A50正2","1474000","40296270","27.33","27.78","27.08","27.35","0.0700","481"
"00656R","國泰中國A50反1","330000","2759440","8.32","8.40","8.32","8.36","0.0100","16"
"00657","國泰日經225","201050","6998026","34.76","34.86","34.72","34.78","0.2500","24"
"00657K","國泰日經225+U","200","2262","11.31","11.31","11.31","11.31","0.0900","2"
"00660","元大歐洲50","19322","612061","31.70","31.73","31.70","31.73","0.0300","976"
"00661","元大日經225","8417","312392","37.16","37.32","37.16","37.32","0.4600","1000"
"00662","富邦NASDAQ","394152","20595127","51.90","52.35","51.90","52.30","0.4500","422"
"00663L","國泰臺灣加權正2","19126","2005605","104.50","105.50","104.20","105.20","1.6000","13"
"00664R","國泰臺灣加權反1","5578532","33240788","5.97","5.99","5.94","5.97","-0.0100","286"
"00665L","富邦恒生國企正2","45848109","372219970","8.13","8.40","7.92","8.10","0.0000","4731"
"00666R","富邦恒生國企反1","147000","2159770","14.48","14.86","14.42","14.79","0.1300","16"
"00668","國泰美國道瓊","25429","966088","37.90","38.06","37.90","38.06","0.3500","971"
"00668K","國泰美國道瓊+U","200","2472","12.36","12.36","12.36","12.36","0.1000","2"
"00669R","國泰美國道瓊反1","7521608","59290727","7.89","7.89","7.87","7.89","-0.0500","564"
"00670L","富邦NASDAQ正2","1382213","93394381","67.40","67.75","67.40","67.75","1.1000","601"
"00671R","富邦NASDAQ反1","17994783","99188813","5.52","5.52","5.50","5.50","-0.0600","1215"
"00673R","期元大S&P原油反1","24607916","217586953","8.83","8.86","8.83","8.85","-0.0500","1397"
"00674R","期元大S&P黃金反1","975184","11691674","11.99","12.00","11.98","11.99","0.0200","142"
"00675L","富邦臺灣加權正2","690881","31727651","45.66","46.20","45.52","45.93","0.3300","468"
"00676R","富邦臺灣加權反1","3668239","12047571","3.28","3.30","3.27","3.28","-0.0100","163"
"00678","群益NBI生技","316418","8226589","25.80","26.02","25.80","26.00","0.2500","20"
"00680L","元大美債20正2","43494492","505629522","11.63","11.65","11.60","11.64","-0.1900","6466"
"00681R","元大美債20反1","308015","5585903","18.13","18.15","18.11","18.14","0.1500","34"
"00682U","期元大美元指數","77000","1565420","20.30","20.36","20.29","20.32","0.0800","32"
"00683L","期元大美元指正2","1108004","23398444","21.09","21.17","21.07","21.13","0.1500","295"
