證券代號,證券名稱,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
"0050","元大台灣50","3247078","391083845","120.85","120.85","120.15","120.55","-0.3000","8438"
"0051","元大中型100","69389","4079125","58.70","58.85","58.65","58.85","0.2500","169"
"0052","富邦科技","350133","37822517","108.50","108.50","107.70","108.05","-0.4500","573"
"0053","元大電子","4195","253165","60.55","60.55","60.25","60.55","-0.4500","1005"
"0055","元大MSCI金融","279649","6193819","22.15","22.16","22.13","22.14","-0.0100","258"
"0056","元大高股息","14178009","408072946","28.70","28.85","28.70","28.85","0.1500","8990"
"0057","富邦摩台","5180","453380","87.75","87.75","87.50","87.55","-0.2000","875"
"0061","元大寶滬深","131366","2555673","19.46","19.50","19.36","19.50","0.0400","976"
"006203","元大MSCI台灣","5521","322271","58.50","58.50","58.40","58.40","-0.1500","910"
"006204","永豐臺灣加權","23722","1900744","80.05","80.20","80.05","80.20","0.2000","1020"
"006205","富邦上証","1002343","32301734","32.23","32.30","32.19","32.22","-0.0100","146"
"006206","元大上證50","383707","11675284","30.54","30.54","30.30","30.32","-0.2600","1180"
"006207","復華滬深","4860","124172","25.53","25.58","25.53","25.58","0.0400","8"
"006208","富邦台50","2046932","142779244","69.95","69.95","69.55","69.80","-0.1500","5750"
"00625K","富邦上証+R","","","","","","","0.0000",""
"00631L","元大台灣50正2","1828580","215347289","118.20","118.20","117.10","117.90","0.0000","1180"
"00632R","元大台灣50反1","54914614","285597396","5.20","5.22","5.19","5.19","-0.0100","2749"
"00633L","富邦上証正2","8581814","329876430","38.88","38.95","38.19","38.22","-0.4600","2039"
"00634R","富邦上証反1","44000","195730","4.44","4.47","4.44","4.47","0.0200","7"
"00635U","期元大S&P黃金","908600","23196374","25.40","25.59","25.40","25.57","0.2000","358"
"00636","國泰中國A50","2074446","44604021","21.69","21.69","21.43","21.47","-0.1200","1469"
"00636K","國泰中國A50+U","200","1410","7.05","7.05","7.05","7.05","-0.0200","2"
"00637L","元大滬深300正2","75817117","1149486434","15.30","15.35","15.06","15.09","-0.1300","8500"
"00638R","元大滬深300反1","136000","1278950","9.37","9.43","9.37","9.40","0.0400","22"
"00639","富邦深100","1032113","13636409","13.24","13.29","13.16","13.21","0.0100","827"
"00640L","富邦日本正2","146702","4484558","30.52","30.63","30.51","30.60","0.4200","89"
"00641R","富邦日本反1","288392","2647264","9.20","9.20","9.17","9.18","-0.0400","78"
"00642U","期元大S&P石油","5695595","97903850","17.16","17.21","17.16","17.19","0.2400","1554"
"00643","群益深証中小","83037","1283569","15.47","15.51","15.43","15.47","0.0500","953"
"00643K","群益深証中小+R","","","","","","","0.0000",""
"00645","富邦日本","62543","1686930","26.97","27.00","26.97","26.98","0.1800","692"
"00646","元大S&P500","1023868","39648260","38.73","38.77","38.70","38.71","-0.0600","691"
"00647L","元大S&P500正2","196252","10863585","55.30","55.40","55.25","55.40","0.1000","45"
"00648R","元大S&P500反1","3377000","23943110","7.08","7.10","7.08","7.10","0.0200","92"
"00650L","復華香港正2","5853054","81271105","13.99","14.09","13.78","13.79","-0.0400","958"
"00651R","復華香港反1","579050","4749339","8.14","8.22","8.14","8.22","0.0100","28"
"00652","富邦印度","133333","3869388","29.02","29.06","29.00","29.05","0.0300","772"
"00653L","富邦印度正2","339797","14251167","41.94","42.06","41.83","41.96","0.2000","104"
"00654R","富邦印度反1","82000","662110","8.08","8.09","8.06","8.08","-0.0200","29"
"00655L","國泰中國A50正2","2875637","77903256","27.49","27.49","26.96","26.97","-0.2900","771"
"00656R","國泰中國A50反1","100000","838710","8.36","8.42","8.36","8.42","0.0600","11"
"00657","國泰日經225","114971","3859204","33.59","33.59","33.57","33.57","0.0700","976"
"00657K","國泰日經225+U","200","2202","11.01","11.01","11.01","11.01","0.0300","2"
"00660","元大歐洲50","101227","3160052","31.40","31.40","31.20","31.23","-0.1700","974"
"00661","元大日經225","2595","91806","35.98","35.98","35.98","35.98","0.0700","950"
"00662","富邦NASDAQ","805115","41042358","51.05","51.05","50.90","51.00","-0.2000","499"
"00663L","國泰臺灣加權正2","4000","434900","108.50","109.00","108.50","109.00","0.2000","3"
"00664R","國泰臺灣加權反1","2049000","12019940","5.87","5.88","5.85","5.86","0.0000","170"
"00665L","富邦恒生國企正2","16211291","138623227","8.62","8.70","8.46","8.48","-0.0300","1881"
"00666R","富邦恒生國企反1","76000","1086750","14.16","14.33","14.16","14.30","0.0200","11"
"00668","國泰美國道瓊","21477","801158","37.28","37.33","37.28","37.33","0.1200","481"
"00668K","國泰美國道瓊+U","200","2446","12.23","12.23","12.23","12.23","0.0200","2"
"00669R","國泰美國道瓊反1","9605390","76087970","7.93","7.93","7.91","7.93","-0.0200","425"
"00670L","富邦NASDAQ正2","1274179","83479606","65.60","65.60","65.40","65.55","-0.7000","655"
"00671R","富邦NASDAQ反1","14460510","81111455","5.60","5.62","5.60","5.62","0.0400","392"
"00673R","期元大S&P原油反1","55055623","455011705","8.28","8.29","8.25","8.27","-0.1200","5417"
"00674R","期元大S&P黃金反1","1822031","21483119","11.86","11.87","11.75","11.77","-0.1200","436"
"00675L","富邦臺灣加權正2","572733","27239332","47.72","47.73","47.30","47.65","0.0600","361"
"00676R","富邦臺灣加權反1","2543454","8216624","3.23","3.24","3.22","3.24","0.0000","198"
"00678","群益NBI生技","399527","10236850","25.60","25.63","25.60","25.60","-0.0200","965"
"00680L","元大美債20正2","10486771","128600052","12.27","12.28","12.25","12.26","-0.0500","2017"
"00681R","元大美債20反1","159000","2801970","17.61","17.65","17.61","17.64","0.0300","22"
