證券代號,證券名稱,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
"0050","元大台灣50","3888293","455688616","117.00","117.50","116.70","117.50","0.3000","6451"
"0051","元大中型100","18098","1045179","57.70","57.90","57.45","57.90","0.1500","133"
"0052","富邦科技","89546","8970541","100.05","100.65","99.90","100.65","0.4000","201"
"0053","元大電子","8791","513881","58.50","58.75","58.50","58.70","0.1500","921"
"0055","元大MSCI金融","141225","3165640","22.38","22.45","22.33","22.43","0.0500","184"
"0056","元大高股息","8375431","237712886","28.34","28.45","28.28","28.45","0.0300","5948"
"0057","富邦摩台","2965","251414","85.00","85.35","85.00","85.35","0.3000","959"
"0061","元大寶滬深","404571","7700891","18.94","19.13","18.90","19.06","0.1000","190"
"006203","元大MSCI台灣","1575","88950","56.75","56.75","56.75","56.75","0.0000","576"
"006204","永豐臺灣加權","22267","1751365","78.70","78.70","78.70","78.70","0.2500","860"
"006205","富邦上証","1509746","48833266","31.99","32.47","31.99","32.40","0.4800","163"
"006206","元大上證50","43772","1338117","30.30","30.74","30.30","30.70","0.5400","993"
"006207","復華滬深","68385","1713945","25.07","25.26","25.03","25.26","0.2100","978"
"006208","富邦台50","1883940","127846300","67.75","68.05","67.55","67.95","0.1000","3328"
"00625K","富邦上証+R","","","","","","","0.0000",""
"00631L","元大台灣50正2","1768918","199117252","111.95","113.40","111.80","113.35","0.7000","1223"
"00632R","元大台灣50反1","85504352","453636936","5.33","5.33","5.28","5.28","-0.0200","2976"
"00633L","富邦上証正2","5944844","230583414","38.23","39.18","38.12","39.00","0.9900","1814"
"00634R","富邦上証反1","174000","768980","4.45","4.45","4.41","4.43","-0.0600","21"
"00635U","期元大S&P黃金","941324","24321176","25.90","25.94","25.76","25.82","0.3500","361"
"00636","國泰中國A50","648894","14070894","21.50","21.80","21.50","21.74","0.2400","782"
"00636K","國泰中國A50+U","200","1416","7.08","7.08","7.08","7.08","0.1100","2"
"00637L","元大滬深300正2","56959170","870524036","15.05","15.43","15.03","15.34","0.3500","7212"
"00638R","元大滬深300反1","324020","3031098","9.40","9.41","9.32","9.35","-0.1200","22"
"00639","富邦深100","2190413","27684890","12.63","12.69","12.58","12.61","-0.0300","987"
"00640L","富邦日本正2","274109","8677460","31.61","31.77","31.60","31.75","-0.4400","79"
"00641R","富邦日本反1","1836000","16569260","9.04","9.05","9.00","9.01","0.0200","125"
"00642U","期元大S&P石油","37894807","552135362","14.48","14.68","14.47","14.61","-0.5400","8257"
"00643","群益深証中小","604579","8930189","14.75","14.84","14.72","14.75","0.0700","654"
"00643K","群益深証中小+R","","","","","","","0.0000",""
"00645","富邦日本","30721","845157","27.42","27.58","27.42","27.56","-0.1300","462"
"00646","元大S&P500","380263","14747650","38.71","38.93","38.71","38.92","-0.2800","381"
"00647L","元大S&P500正2","176724","9670560","54.45","55.00","54.40","55.00","-0.8000","97"
"00648R","元大S&P500反1","2724193","19443056","7.15","7.16","7.11","7.12","0.0400","200"
"00650L","復華香港正2","9881330","129612670","12.85","13.29","12.82","13.20","0.4100","1340"
"00651R","復華香港反1","471020","3951317","8.21","8.46","8.21","8.39","-0.1400","52"
"00652","富邦印度","364601","10791673","29.72","29.72","29.55","29.69","-0.0700","827"
"00653L","富邦印度正2","267868","11552185","43.00","43.45","42.92","43.45","0.0600","104"
