證券代號,證券名稱,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
"0050","元大台灣50","4345000","525782500","121.25","121.45","120.80","121.00","0.0000","1607"
"0051","元大中型100","55000","3170200","57.45","57.80","57.45","57.80","0.3500","29"
"0052","富邦科技","142000","15448650","109.00","109.05","108.50","108.60","0.0500","126"
"0053","元大電子","7000","425250","61.00","61.00","60.30","60.30","-0.4000","7"
"0055","元大MSCI金融","93000","2041070","22.00","22.01","21.90","21.93","-0.0800","59"
"0056","元大高股息","10540000","299975830","28.48","28.52","28.41","28.43","-0.0400","5283"
"0057","富邦摩台","6000","526850","87.90","87.90","87.70","87.70","0.0500","6"
"0061","元大寶滬深","126000","2461190","19.43","19.59","19.35","19.58","0.1500","53"
"006203","元大MSCI台灣","2000","117100","58.60","58.60","58.50","58.50","0.0500","2"
"006204","永豐臺灣加權","22000","1751250","79.65","79.65","79.60","79.60","0.2000","4"
"006205","富邦上証","709000","22936500","32.40","32.43","32.29","32.30","0.1000","71"
"006206","元大上證50","164000","5020490","30.36","30.74","30.36","30.55","0.1100","29"
"006207","復華滬深","50000","1285780","25.61","25.75","25.61","25.73","0.1300","14"
"006208","富邦台50","1875000","131337650","70.10","70.30","69.95","69.95","-0.1000","798"
"00625K","富邦上証+R","","","","","","","0.0000",""
"00631L","元大台灣50正2","1437000","167866050","117.00","117.25","116.30","116.60","0.6000","555"
"00632R","元大台灣50反1","55667000","290915440","5.22","5.24","5.21","5.23","-0.0200","2874"
"00633L","富邦上証正2","8594000","336694990","38.96","39.51","38.63","39.00","0.4500","1989"
"00634R","富邦上証反1","199000","880300","4.43","4.44","4.39","4.41","-0.0500","28"
"00635U","期元大S&P黃金","426000","10826400","25.47","25.47","25.39","25.41","-0.1300","137"
"00636","國泰中國A50","1425000","30973860","21.68","21.80","21.59","21.69","0.1000","260"
"00636K","國泰中國A50+U","200","1426","7.13","7.13","7.13","7.13","0.0600","2"
"00637L","元大滬深300正2","76263000","1177415250","15.35","15.58","15.24","15.40","0.2000","9005"
"00638R","元大滬深300反1","77000","716130","9.35","9.35","9.27","9.33","-0.0700","22"
"00639","富邦深100","923000","12303630","13.26","13.38","13.26","13.33","0.1200","72"
"00640L","富邦日本正2","514000","15103230","29.40","29.45","29.30","29.38","0.1900","85"
"00641R","富邦日本反1","417000","3903340","9.37","9.37","9.35","9.36","-0.0500","61"
"00642U","期元大S&P石油","14814000","249871620","16.88","16.90","16.80","16.80","-0.0600","1745"
"00643","群益深証中小","209000","3247840","15.45","15.57","15.45","15.56","0.1400","36"
"00643K","群益深証中小+R","","","","","","","0.0000",""
"00645","富邦日本","33000","872160","26.49","26.49","26.40","26.42","0.0500","6"
"00646","元大S&P500","443000","17154070","38.76","38.78","38.67","38.67","0.1200","156"
"00647L","元大S&P500正2","414000","22791650","55.00","55.10","55.00","55.10","0.6000","99"
"00648R","元大S&P500反1","7066000","50209070","7.10","7.11","7.09","7.11","-0.0300","180"
"00650L","復華香港正2","4545000","63637390","14.00","14.10","13.92","13.94","0.2700","683"
"00651R","復華香港反1","262000","2135420","8.13","8.18","8.13","8.18","-0.0600","32"
"00652","富邦印度","262000","7588100","28.96","28.99","28.95","28.96","0.1100","119"
"00653L","富邦印度正2","440000","18249880","41.31","41.59","41.31","41.52","0.2700","169"
"00654R","富邦印度反1","159000","1292430","8.13","8.13","8.12","8.13","-0.0300","28"
"00655L","國泰中國A50正2","2095000","57941890","27.54","27.94","27.26","27.61","0.3700","621"
"00656R","國泰中國A50反1","432000","3598800","8.32","8.37","8.28","8.31","-0.0600","23"
"00657","國泰日經225","202000","6641840","32.88","32.94","32.88","32.90","0.0400","6"
"00657K","國泰日經225+U","200","2158","10.79","10.79","10.79","10.79","0.0300","2"
"00660","元大歐洲50","2000","62290","31.15","31.15","31.14","31.14","0.0300","2"
"00661","元大日經225","1000","35230","35.23","35.23","35.23","35.23","0.0400","1"
"00662","富邦NASDAQ","1114000","57161900","51.20","51.40","51.15","51.35","0.4500","505"
"00663L","國泰臺灣加權正2","5000","537850","107.70","107.90","107.30","107.65","0.7500","4"
"00664R","國泰臺灣加權反1","3038000","17931890","5.90","5.92","5.89","5.91","-0.0100","194"
"00665L","富邦恒生國企正2","13630000","117531020","8.65","8.68","8.56","8.58","0.1500","1500"
"00666R","富邦恒生國企反1","160000","2277980","14.26","14.26","14.20","14.25","-0.1400","17"
"00668","國泰美國道瓊","16000","592820","37.11","37.11","37.04","37.04","-0.0300","14"
"00668K","國泰美國道瓊+U","200","2430","12.15","12.15","12.15","12.15","0.0100","2"
"00669R","國泰美國道瓊反1","13974000","111643280","7.98","8.00","7.98","8.00","0.0100","348"
"00670L","富邦NASDAQ正2","1533000","101583900","66.25","66.35","66.20","66.20","1.2500","530"
"00671R","富邦NASDAQ反1","24846000","138554140","5.57","5.58","5.56","5.58","-0.0400","677"
"00673R","期元大S&P原油反1","35527000","300428570","8.43","8.47","8.42","8.47","0.0100","2760"
"00674R","期元大S&P黃金反1","945000","11228530","11.84","11.91","11.84","11.90","0.0900","162"
"00675L","富邦臺灣加權正2","292000","13742590","47.07","47.24","46.88","47.03","0.3400","203"
