證券代號,證券名稱,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
"0050","元大台灣50","14209529","1647263712","116.55","116.60","115.65","116.10","-0.5000","27918"
"0051","元大中型100","44023","2478082","56.30","56.45","56.00","56.35","0.0000","157"
"0052","富邦科技","361957","35668210","98.90","98.95","98.35","98.75","-0.5500","813"
"0053","元大電子","3962","227055","57.40","57.40","57.40","57.40","-0.6000","892"
"0055","元大MSCI金融","118962","2649511","22.24","22.35","22.22","22.28","0.0200","293"
"0056","元大高股息","27630253","765429950","27.70","27.84","27.61","27.84","0.0400","20828"
"0057","富邦摩台","8882","745156","84.00","84.00","83.95","83.95","-0.6500","889"
"0061","元大寶滬深","46882","882111","18.75","18.91","18.73","18.91","0.1900","119"
"006203","元大MSCI台灣","25987","1448673","56.00","56.15","55.70","56.15","0.1500","402"
"006204","永豐臺灣加權","33808","2610041","77.10","77.35","76.95","77.35","0.0000","1023"
"006205","富邦上証","1511164","47695232","31.59","31.72","31.45","31.64","0.1400","438"
"006206","元大上證50","624411","18679844","29.83","30.00","29.65","29.99","0.1500","935"
"006207","復華滬深","103630","2554633","24.61","24.74","24.58","24.74","0.1600","496"
"006208","富邦台50","10264298","688927314","67.60","67.60","66.95","67.05","-0.5500","18129"
"00625K","富邦上証+R","","","","","","","0.0000",""
"00631L","元大台灣50正2","3396730","372855217","109.95","110.35","109.15","110.10","-0.1000","3412"
"00632R","元大台灣50反1","215853982","1160374868","5.37","5.40","5.36","5.36","0.0000","8006"
"00633L","富邦上証正2","5272478","197480651","37.19","37.79","37.04","37.70","0.5100","1216"
"00634R","富邦上証反1","287000","1295660","4.53","4.54","4.51","4.51","-0.0200","14"
"00635U","期元大S&P黃金","269131","6799333","25.25","25.29","25.22","25.26","0.0700","150"
"00636","國泰中國A50","2417181","51238473","21.12","21.28","21.07","21.26","0.1400","452"
"00636K","國泰中國A50+U","200","1382","6.91","6.91","6.91","6.91","-0.0100","2"
"00637L","元大滬深300正2","39946095","589654905","14.69","14.90","14.61","14.86","0.2100","5429"
"00638R","元大滬深300反1","247000","2357140","9.56","9.60","9.50","9.50","-0.0600","38"
"00639","富邦深100","993443","12392999","12.47","12.58","12.41","12.55","0.1500","474"
"00640L","富邦日本正2","213727","6657386","31.31","31.35","30.88","31.15","-0.5600","62"
"00641R","富邦日本反1","2628132","24014469","9.12","9.18","9.11","9.15","0.0800","322"
"00642U","期元大S&P石油","1967100","32188202","16.37","16.42","16.29","16.41","-0.2200","547"
"00643","群益深証中小","385509","5585859","14.47","14.63","14.42","14.63","0.2100","57"
"00643K","群益深証中小+R","","","","","","","0.0000",""
"00645","富邦日本","107561","2933138","27.36","27.37","27.16","27.28","-0.2000","1083"
"00646","元大S&P500","640000","24831619","38.80","38.84","38.76","38.83","-0.1500","700"
"00647L","元大S&P500正2","89072","4884240","54.90","54.90","54.75","54.85","-0.7500","84"
"00648R","元大S&P500反1","3238419","23101623","7.14","7.14","7.13","7.13","0.0500","231"
"00650L","復華香港正2","5177590","66732114","12.69","13.11","12.65","13.11","0.3500","809"
"00651R","復華香港反1","1908000","16168360","8.67","8.67","8.44","8.44","-0.0900","101"
"00652","富邦印度","287777","8406905","29.18","29.25","29.17","29.22","0.0600","569"
"00653L","富邦印度正2","129465","5407410","41.70","41.85","41.67","41.82","-0.0400","75"
"00654R","富邦印度反1","33000","267900","8.10","8.13","8.10","8.12","0.0100","8"
"00655L","國泰中國A50正2","3179050","83961931","26.22","26.63","26.10","26.57","0.3500","559"
"00656R","國泰中國A50反1","227000","1937950","8.52","8.56","8.48","8.48","-0.0700","25"
"00657","國泰日經225","206810","7040077","34.18","34.18","33.98","34.00","-0.2800","717"
"00657K","國泰日經225+U","200","2212","11.06","11.06","11.06","11.06","-0.1300","2"
"00660","元大歐洲50","51587","1622274","31.46","31.49","31.43","31.43","-0.4200","665"
"00661","元大日經225","7270","264650","36.52","36.52","36.29","36.29","-0.3900","14"
