證券代號,證券名稱,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
"0050","元大台灣50","2990000","360098250","120.00","120.90","119.85","120.65","1.1500","1626"
"0051","元大中型100","30000","1761350","58.85","58.85","58.60","58.65","0.3500","14"
"0052","富邦科技","148000","15950000","107.65","108.20","107.30","107.90","1.1000","80"
"0053","元大電子","5000","302150","60.60","60.80","60.15","60.80","0.6000","4"
"0055","元大MSCI金融","148000","3311470","22.28","22.44","22.25","22.42","0.1700","74"
"0056","元大高股息","11979000","343819450","28.71","28.76","28.64","28.74","0.0300","5817"
"0057","富邦摩台","2000","175100","87.35","87.75","87.35","87.75","0.7000","2"
"0061","元大寶滬深","50000","971650","19.45","19.45","19.38","19.38","-0.0400","14"
"006203","元大MSCI台灣","5000","291100","58.10","58.55","58.05","58.25","0.3000","5"
"006204","永豐臺灣加權","24000","1923150","79.95","80.15","79.95","80.15","0.5500","6"
"006205","富邦上証","986000","31900330","32.21","32.50","32.21","32.38","0.1700","68"
"006206","元大上證50","541000","16543700","30.48","30.70","30.48","30.59","0.1600","113"
"006207","復華滬深","57000","1458020","25.64","25.64","25.53","25.59","0.1500","10"
"006208","富邦台50","2245000","156363200","69.50","70.00","69.35","69.85","0.6500","841"
"00625K","富邦上証+R","","","","","","","0.0000",""
"00631L","元大台灣50正2","3539000","417142600","117.10","118.80","116.85","118.45","2.2000","1237"
"00632R","元大台灣50反1","123541000","642172160","5.21","5.23","5.18","5.19","-0.0500","7107"
"00633L","富邦上証正2","5880000","227184710","38.60","38.98","38.24","38.36","0.1100","1818"
"00634R","富邦上証反1","107000","474630","4.43","4.45","4.41","4.45","-0.0200","14"
"00635U","期元大S&P黃金","1072000","27743660","25.83","25.92","25.83","25.85","0.3000","377"
"00636","國泰中國A50","2048000","44277070","21.57","21.70","21.55","21.62","0.1300","279"
"00636K","國泰中國A50+U","200","1422","7.11","7.11","7.11","7.11","0.0600","2"
"00637L","元大滬深300正2","74164000","1129377490","15.25","15.36","15.08","15.12","0.0200","7855"
"00638R","元大滬深300反1","4760000","44508420","9.32","9.37","9.32","9.34","-0.0600","42"
"00639","富邦深100","474000","6217150","13.14","13.18","13.08","13.10","0.0300","75"
"00640L","富邦日本正2","206000","6378820","30.90","31.01","30.86","31.00","0.3500","98"
"00641R","富邦日本反1","381000","3478910","9.15","9.15","9.12","9.13","-0.0500","67"
"00642U","期元大S&P石油","2975000","51681570","17.34","17.40","17.34","17.37","-0.1000","773"
"00643","群益深証中小","84000","1291400","15.28","15.41","15.28","15.41","0.1200","19"
"00643K","群益深証中小+R","","","","","","","0.0000",""
"00645","富邦日本","20000","543590","27.14","27.20","27.14","27.18","0.1500","17"
"00646","元大S&P500","800000","31146910","38.97","38.98","38.89","38.92","0.3700","316"
"00647L","元大S&P500正2","266000","14950650","56.25","56.25","56.15","56.20","1.3000","71"
"00648R","元大S&P500反1","3643000","25610480","7.03","7.04","7.02","7.03","-0.0800","641"
"00650L","復華香港正2","6144000","85260300","13.88","14.04","13.76","13.84","0.2200","982"
"00651R","復華香港反1","403000","3297070","8.17","8.21","8.14","8.20","-0.0600","48"
"00652","富邦印度","271000","7899230","29.11","29.20","29.09","29.15","0.1000","125"
"00653L","富邦印度正2","334000","14096170","42.14","42.45","42.09","42.15","0.2000","129"
"00654R","富邦印度反1","121000","972770","8.06","8.06","8.02","8.04","-0.0400","22"
"00655L","國泰中國A50正2","2341000","63835960","27.35","27.54","27.00","27.13","0.1600","752"
"00656R","國泰中國A50反1","550000","4585820","8.35","8.39","8.32","8.37","-0.0400","32"
"00657","國泰日經225","116000","3945510","33.99","34.07","33.99","34.06","0.3600","9"
"00657K","國泰日經225+U","200","2236","11.18","11.18","11.18","11.18","0.1600","2"
"00660","元大歐洲50","332000","10454590","31.41","31.79","31.38","31.76","0.5300","30"
"00661","元大日經225","4000","145290","36.29","36.40","36.29","36.40","0.3800","3"
"00662","富邦NASDAQ","282000","14450500","51.25","51.35","51.15","51.25","0.6000","193"
"00663L","國泰臺灣加權正2","34000","3712850","108.25","109.70","108.15","109.45","2.1000","13"
"00664R","國泰臺灣加權反1","7237000","42441330","5.89","5.90","5.84","5.85","-0.0700","730"
"00665L","富邦恒生國企正2","22721000","193445440","8.50","8.60","8.42","8.46","0.1200","2201"
"00666R","富邦恒生國企反1","227000","3246000","14.26","14.33","14.21","14.30","-0.1000","17"
"00668","國泰美國道瓊","57000","2139090","37.63","37.63","37.50","37.50","0.2300","19"
"00668K","國泰美國道瓊+U","200","2466","12.33","12.33","12.33","12.33","0.1200","2"
"00669R","國泰美國道瓊反1","8762000","68854830","7.86","7.87","7.85","7.87","-0.0700","2738"
"00670L","富邦NASDAQ正2","1906000","127206500","66.75","66.85","66.60","66.60","2.1000","710"
"00671R","富邦NASDAQ反1","20714000","115147170","5.56","5.57","5.55","5.56","-0.1000","4425"
"00673R","期元大S&P原油反1","31877000","260350250","8.19","8.19","8.15","8.17","0.0400","2386"
"00674R","期元大S&P黃金反1","3065000","35632860","11.63","11.64","11.61","11.64","-0.1400","556"
"00675L","富邦臺灣加權正2","802000","38207280","47.31","48.00","47.24","47.86","0.9100","384"
"00676R","富邦臺灣加權反1","7262000","23401370","3.24","3.25","3.21","3.23","-0.0300","464"
"00678","群益NBI生技","333000","8654890","25.99","26.01","25.97","25.97","0.3700","28"
"00680L","元大美債20正2","21991000","265831270","12.10","12.11","12.07","12.10","-0.1500","3123"
"00681R","元大美債20反1","215000","3812870","17.78","17.78","17.71","17.72","0.0700","30"
"00682U","期元大美元指數","189000","3794510","20.08","20.10","20.06","20.09","-0.1600","71"
"00683L","期元大美元指正2","2721000","55964540","20.65","20.65","20.52","20.54","-0.3100","571"
"00684R","期元大美元指反1","2000","32740","16.37","16.37","16.37","16.37","0.1000","2"
"00685L","群益臺灣加權正2","89000","3771890","41.91","42.52","41.91","42.43","0.7700","40"
"00686R","群益臺灣加權反1","1301000","4559920","3.52","3.52","3.48","3.49","-0.0400","56"
"00688L","國泰20年美債正2","3181000","38200950","12.00","12.03","11.99","12.02","-0.1500","516"
"00689R","國泰20年美債反1","3000","55140","18.38","18.38","18.38","18.38","0.1000","2"
"00690","兆豐藍籌30","168000","4679530","27.86","27.89","27.76","27.86","0.1500","34"
"00692","富邦公司治理","829000","25002460","30.02","30.25","30.02","30.20","0.2200","381"
"00693U","期街口S&P黃豆","19000","508100","26.79","26.80","26.70","26.72","-0.1600","14"
"00700","富邦恒生國企","178000","2309540","13.05","13.07","12.93","13.00","0.1300","26"
"00701","國泰股利精選30","948000","21884430","23.05","23.13","23.04","23.11","0.0600","283"
"00702","國泰標普低波高息","107000","2228770","20.82","20.87","20.80","20.87","0.0800","7"
"00703","台新MSCI中國","86000","1395480","16.23","16.33","16.20","16.26","0.1100","20"
"00706L","期元大S&P日圓正2","2269000","22443490","9.85","9.91","9.85","9.88","0.0900","294"
"00707R","期元大S&P日圓反1","","","","","","","0.0000",""
"00708L","期元大S&P黃金正2","1643000","49222540","29.92","30.02","29.88","29.90","0.6800","377"
"00709","富邦歐洲","31000","780290","25.17","25.19","25.17","25.19","0.2000","3"
"00710B","復華彭博非投等債","403000","7124460","17.65","17.69","17.65","17.67","0.0100","56"
"00711B","復華彭博新興債","118000","1913850","16.21","16.23","16.21","16.23","-0.0400","14"
"00712","復華富時不動產","43484000","395109000","9.07","9.11","9.06","9.11","0.0200","10301"
"00713","元大台灣高息低波","7561000","308381850","40.73","40.86","40.68","40.81","0.1000","3260"
"00714","群益道瓊美國地產","376000","6854760","18.28","18.29","18.21","18.21","-0.0900","99"
"00715L","期街口布蘭特正2","35079000","550516660","15.64","15.76","15.64","15.69","-0.2100","2771"
"00717","富邦美國特別股","206000","3004690","14.58","14.60","14.57","14.58","0.0000","64"
"00728","第一金工業30","367000","8696710","23.66","23.73","23.59","23.71","0.1000","70"
"00730","富邦臺灣優質高息","98000","1835770","18.70","18.75","18.68","18.74","0.0500","46"
"00731","復華富時高息低波","1100000","62819200","56.80","57.15","56.80","57.05","0.2000","42"
"00732","國泰RMB短期報酬","","","","","","","0.0000",""
"00733","富邦臺灣中小","240000","8986410","37.45","37.55","37.33","37.46","0.1000","82"
"00735","國泰臺韓科技","103000","2793950","26.91","27.13","26.91","27.13","0.2000","5"
"00736","國泰新興市場","100000","1966000","19.66","19.66","19.66","19.66","0.1200","2"
"00737","國泰AI+Robo","56000","1549110","27.63","27.69","27.63","27.66","0.2800","27"
"00738U","期元大道瓊白銀","926000","23713530","25.49","25.68","25.49","25.57","0.4600","315"
"00739","元大MSCI A股","7000","166190","23.77","23.79","23.72","23.79","0.1100","6"
"00752","中信中國50","3378000","63061260","18.69","18.80","18.61","18.68","0.1500","592"
"00753L","中信中國50正2","9296000","103141850","11.08","11.19","11.01","11.05","0.1600","1458"
"00757","統一FANG+","585000","26035160","44.50","44.57","44.47","44.48","0.7100","223"
"00762","元大全球AI","127000","4687290","36.88","36.97","36.86","36.87","0.1300","59"
"00763U","期街口道瓊銅","392000","10283630","26.08","26.33","26.07","26.32","0.6300","82"
"00770","國泰北美科技","291000","8446540","29.03","29.10","29.00","29.01","0.4100","90"
"00771","元大US高息特別股","35000","555020","15.86","15.87","15.85","15.86","0.0000","24"
"00775B","新光投等債15+","52000","1770610","34.10","34.10","34.01","34.01","-0.1900","4"
"00783","富邦中証500","229000","5018650","21.86","21.95","21.85","21.95","0.0600","11"
"00830","國泰費城半導體","2379000","64887020","27.29","27.32","27.23","27.26","0.0800","656"
"00850","元大臺灣ESG永續","467000","14664150","31.25","31.51","31.25","31.45","0.2600","151"
"00851","台新全球AI","12000","321850","26.85","26.85","26.80","26.80","0.3300","9"
"00852L","國泰美國道瓊正2","603000","11780680","19.55","19.56","19.52","19.52","0.3500","168"
"00861","元大全球未來通訊","117000","3350560","28.50","28.67","28.50","28.63","0.1800","48"
"00865B","國泰US短期公債","125000","5046060","40.45","40.45","40.35","40.36","-0.0900","6"
"00875","國泰網路資安","201000","5240350","26.01","26.09","26.01","26.05","0.2300","59"
"00876","元大全球5G","120000","3309520","27.70","27.70","27.40","27.60","0.1500","68"
"00878","國泰永續高股息","41939000","737375910","17.59","17.62","17.54","17.61","0.0400","12946"
"00881","國泰台灣5G+","6252000","95055790","15.12","15.26","15.12","15.22","0.1200","1527"
"00882","中信中國高股息","8729000","105933630","12.11","12.17","12.11","12.13","0.0200","1394"
"00885","富邦越南","8800000","100564150","11.45","11.46","11.40","11.41","-0.0400","2252"
"00891","中信關鍵半導體","3914000","52075520","13.20","13.36","13.20","13.32","0.1300","912"
"00892","富邦台灣半導體","4618000","56552550","12.18","12.28","12.17","12.27","0.1500","807"
"00893","國泰智能電動車","6787000","93973110","13.79","13.87","13.79","13.83","0.0700","1138"
"00894","中信小資高價30","1206000","16774240","13.77","13.97","13.77","13.92","0.1500","225"
"00895","富邦未來車","970000","14279140","14.70","14.76","14.70","14.70","0.0300","279"
"00896","中信綠能及電動車","2350000","34753360","14.73","14.83","14.73","14.80","0.1000","638"
"00897","富邦基因免疫生技","7049000","55615170","7.89","7.94","7.86","7.90","0.3000","624"
"00898","國泰基因免疫革命","2860000","21960140","7.68","7.69","7.66","7.66","0.1700","414"
"00899","FT潔淨能源","127000","2816380","22.04","22.21","22.04","22.16","0.3500","51"
"00900","富邦特選高股息30","5005000","58835460","11.72","11.79","11.70","11.78","0.0700","1264"
