證券代號,證券名稱,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
"0050","元大台灣50","21039325","2465027235","118.30","118.30","116.55","116.60","-1.5500","50500"
"0051","元大中型100","71133","4022309","57.35","57.35","56.20","56.35","-1.0000","271"
"0052","富邦科技","485085","48486678","101.25","101.25","99.20","99.30","-1.6500","1206"
"0053","元大電子","6449","375122","58.50","58.60","58.00","58.00","-0.9000","998"
"0055","元大MSCI金融","77309","1727955","22.36","22.45","22.25","22.26","-0.0700","220"
"0056","元大高股息","60846403","1697337367","28.30","28.33","27.74","27.80","-0.4700","47004"
"0057","富邦摩台","4742","403512","85.60","85.60","84.60","84.60","-1.1500","984"
"0061","元大寶滬深","267360","5040725","19.05","19.07","18.72","18.72","-0.3500","756"
"006203","元大MSCI台灣","31206","1754888","56.80","56.80","56.00","56.00","-1.3000","515"
"006204","永豐臺灣加權","28794","2227990","77.50","77.50","77.35","77.35","-1.1500","929"
"006205","富邦上証","1277574","40392910","31.75","31.81","31.49","31.50","-0.3600","479"
"006206","元大上證50","577961","17265383","30.03","30.03","29.64","29.84","-0.1800","1074"
"006207","復華滬深","275772","6806585","24.85","24.85","24.58","24.58","-0.3700","1046"
"006208","富邦台50","10337913","701820978","68.45","68.45","67.55","67.60","-0.8500","23050"
"00625K","富邦上証+R","","","","","","","0.0000",""
"00631L","元大台灣50正2","5048868","563086650","113.85","113.85","110.05","110.20","-3.6000","6641"
"00632R","元大台灣50反1","174941458","934201216","5.28","5.37","5.28","5.36","0.0700","10234"
"00633L","富邦上証正2","9416537","350979285","37.47","37.67","36.98","37.19","-0.4100","2182"
"00634R","富邦上証反1","540000","2442030","4.51","4.54","4.51","4.53","0.0200","32"
"00635U","期元大S&P黃金","309304","7804574","25.25","25.28","25.17","25.19","0.1700","153"
"00636","國泰中國A50","2536563","53668954","21.26","21.29","21.06","21.12","-0.1400","1142"
"00636K","國泰中國A50+U","200","1384","6.92","6.92","6.92","6.92","-0.0400","2"
"00637L","元大滬深300正2","77732462","1143759516","14.75","14.86","14.58","14.65","-0.1800","8932"
"00638R","元大滬深300反1","411676","3932322","9.54","9.59","9.52","9.56","0.0400","67"
"00639","富邦深100","1889444","23542668","12.63","12.63","12.39","12.40","-0.2300","1624"
"00640L","富邦日本正2","283422","9015604","31.93","32.05","31.70","31.71","0.1200","84"
"00641R","富邦日本反1","1202277","10873173","9.03","9.07","9.01","9.07","-0.0200","243"
"00642U","期元大S&P石油","2306032","38413431","16.66","16.70","16.61","16.63","0.3500","800"
"00643","群益深証中小","1111182","16121096","14.75","14.81","14.40","14.42","-0.3700","414"
"00643K","群益深証中小+R","","","","","","","0.0000",""
"00645","富邦日本","55434","1527243","27.58","27.64","27.46","27.48","0.0200","614"
