證券代號,證券名稱,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
"0050","元大台灣50","7509494","899888595","120.05","120.15","119.50","119.50","-1.0500","20441"
"0051","元大中型100","44688","2621495","58.90","58.90","58.30","58.30","-0.5500","182"
"0052","富邦科技","387269","41514873","107.70","107.70","106.70","106.80","-1.2500","1185"
"0053","元大電子","5076","305864","60.60","60.60","60.20","60.20","-0.3500","1002"
"0055","元大MSCI金融","75675","1682140","22.10","22.27","22.10","22.25","0.1100","278"
"0056","元大高股息","20849338","599279959","28.85","28.85","28.70","28.71","-0.1400","15993"
"0057","富邦摩台","4191","364899","87.25","87.30","87.05","87.05","-0.5000","998"
"0061","元大寶滬深","95644","1857134","19.37","19.48","19.35","19.42","-0.0800","506"
"006203","元大MSCI台灣","5532","321179","58.25","58.25","57.95","57.95","-0.4500","994"
"006204","永豐臺灣加權","24728","1969154","80.10","80.10","79.60","79.60","-0.6000","996"
"006205","富邦上証","1228454","39589883","32.22","32.30","32.11","32.21","-0.0100","152"
"006206","元大上證50","44928","1363695","30.32","30.45","30.29","30.43","0.1100","957"
"006207","復華滬深","14296","363559","25.58","25.58","25.44","25.44","-0.1400","1004"
"006208","富邦台50","4546011","315624537","69.60","69.60","69.20","69.20","-0.6000","10377"
"00625K","富邦上証+R","","","","","","","0.0000",""
"00631L","元大台灣50正2","3239321","378428138","117.05","117.45","116.05","116.25","-1.6500","2632"
"00632R","元大台灣50反1","84340563","440791824","5.22","5.24","5.21","5.24","0.0500","3793"
"00633L","富邦上証正2","4618954","176130243","37.98","38.56","37.76","38.25","0.0300","1407"
"00634R","富邦上証反1","117000","521800","4.47","4.48","4.45","4.47","0.0000","20"
"00635U","期元大S&P黃金","639050","16329765","25.57","25.58","25.53","25.55","-0.0200","267"
"00636","國泰中國A50","1086399","23321523","21.43","21.55","21.33","21.49","0.0200","954"
"00636K","國泰中國A50+U","200","1410","7.05","7.05","7.05","7.05","0.0000","2"
"00637L","元大滬深300正2","62438498","938400999","14.98","15.20","14.90","15.10","0.0100","7153"
