證券代號,證券名稱,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
"0050","元大台灣50","15218318","1853800317","121.70","122.35","121.40","121.60","0.4000","11286"
"0051","元大中型100","22568","1300751","57.60","57.70","57.55","57.60","0.2500","144"
"0052","富邦科技","252086","27725732","109.70","110.35","109.50","109.60","0.4500","377"
"0053","元大電子","5648","344430","61.15","61.25","61.15","61.25","0.3000","1003"
"0055","元大MSCI金融","110576","2422741","21.85","21.97","21.83","21.88","0.0500","235"
"0056","元大高股息","26477094","753444087","28.37","28.55","28.37","28.43","0.1400","11274"
"0057","富邦摩台","4322","381250","88.35","88.50","88.30","88.50","0.3000","1005"
"0061","元大寶滬深","202629","3901704","19.26","19.32","19.20","19.26","0.2100","1000"
"006203","元大MSCI台灣","3373","197330","58.75","58.75","58.75","58.75","-0.0500","950"
"006204","永豐臺灣加權","54800","4366243","79.65","80.00","79.65","79.75","0.4000","1028"
"006205","富邦上証","1256817","40348105","31.92","32.27","31.92","32.03","0.3200","226"
"006206","元大上證50","61677","1880674","30.49","30.64","30.42","30.42","0.3500","887"
"006207","復華滬深","206355","5235159","25.01","25.51","25.01","25.43","0.4200","1025"
"006208","富邦台50","3363926","237337076","70.30","70.90","70.25","70.25","0.2000","3623"
"00625K","富邦上証+R","","","","","","","0.0000",""
"00631L","元大台灣50正2","3016198","355655136","117.70","118.75","117.30","117.50","0.7000","1983"
"00632R","元大台灣50反1","174838152","909530281","5.21","5.22","5.18","5.22","-0.0100","8525"
"00633L","富邦上証正2","11619925","460939065","39.49","39.96","39.33","39.33","0.6400","2720"
"00634R","富邦上証反1","1875000","8211540","4.40","4.41","4.36","4.41","-0.0300","53"
"00635U","期元大S&P黃金","533675","13412077","25.10","25.17","25.10","25.13","0.2100","245"
"00636","國泰中國A50","2889645","63272088","21.73","21.98","21.73","21.82","0.1900","1023"
"00636K","國泰中國A50+U","200","1440","7.20","7.20","7.20","7.20","0.1500","2"
"00637L","元大滬深300正2","98095321","1531685957","15.54","15.72","15.50","15.50","0.2700","11811"
"00638R","元大滬深300反1","894000","8269320","9.29","9.29","9.21","9.28","-0.0700","64"
"00639","富邦深100","1280356","16935646","13.18","13.28","13.17","13.20","0.1500","876"
"00640L","富邦日本正2","345490","10557475","30.53","30.78","30.40","30.58","0.8100","121"
"00641R","富邦日本反1","891000","8198040","9.23","9.23","9.18","9.21","-0.1100","136"
"00642U","期元大S&P石油","16065326","252026830","15.68","15.74","15.64","15.66","0.3100","2503"
"00643","群益深証中小","538704","8253984","15.28","15.36","15.27","15.32","0.1100","761"
"00643K","群益深証中小+R","","","","","","","0.0000",""
"00645","富邦日本","199123","5378032","26.94","27.05","26.94","27.05","0.4100","648"
"00646","元大S&P500","636682","24360900","38.27","38.33","38.23","38.25","0.1700","463"
"00647L","元大S&P500正2","308087","16699088","54.30","54.30","54.10","54.10","0.7000","159"
"00648R","元大S&P500反1","1607000","11489690","7.15","7.16","7.14","7.16","-0.0500","192"
"00650L","復華香港正2","13145803","185859549","14.00","14.35","13.95","13.97","0.3300","2412"
"00651R","復華香港反1","2100000","16999570","8.16","8.18","8.05","8.16","-0.1100","243"
"00652","富邦印度","198621","5607472","28.20","28.32","28.14","28.27","0.2300","611"
"00653L","富邦印度正2","886073","35216114","39.45","40.04","39.40","39.88","0.7400","387"
"00654R","富邦印度反1","903000","7465930","8.32","8.33","8.25","8.28","-0.1000","44"
"00655L","國泰中國A50正2","4942336","138526769","27.91","28.29","27.82","27.82","0.4500","1002"
"00656R","國泰中國A50反1","707000","5833320","8.26","8.30","8.22","8.30","-0.0800","43"
"00657","國泰日經225","101950","3421849","33.45","33.57","33.45","33.57","0.2900","858"
"00657K","國泰日經225+U","200","2208","11.04","11.04","11.04","11.04","0.1500","2"
"00660","元大歐洲50","136078","4223122","31.12","31.12","31.01","31.01","0.3500","975"
"00661","元大日經225","2970","105561","35.74","35.87","35.74","35.87","0.3400","971"
"00662","富邦NASDAQ","2189528","111794333","50.95","51.15","50.90","51.05","0.5500","809"
"00663L","國泰臺灣加權正2","23023","2508760","109.10","109.30","108.15","108.15","0.7000","13"
"00664R","國泰臺灣加權反1","6767358","39727911","5.88","5.90","5.85","5.88","-0.0300","553"
"00665L","富邦恒生國企正2","54365937","481358402","8.74","9.00","8.73","8.74","0.2700","4794"
"00666R","富邦恒生國企反1","475000","6649200","14.04","14.13","13.90","14.13","-0.2900","92"
"00668","國泰美國道瓊","47338","1723792","36.49","36.49","36.37","36.40","0.1600","899"
"00668K","國泰美國道瓊+U","200","2392","11.96","11.96","11.96","11.96","0.0900","2"
"00669R","國泰美國道瓊反1","7108130","57541566","8.10","8.10","8.09","8.10","-0.0400","517"
"00670L","富邦NASDAQ正2","2723891","179759142","66.00","66.10","65.85","65.90","1.5500","1331"
"00671R","富邦NASDAQ反1","11731306","65393852","5.57","5.58","5.57","5.58","-0.0600","961"
"00673R","期元大S&P原油反1","36811000","335138643","9.10","9.13","9.07","9.13","-0.1700","2501"
"00674R","期元大S&P黃金反1","1035251","12397929","11.98","12.00","11.97","12.00","-0.0700","225"
"00675L","富邦臺灣加權正2","847992","40241118","47.38","47.80","47.25","47.30","0.3200","549"
"00676R","富邦臺灣加權反1","3601169","11635702","3.23","3.24","3.22","3.23","-0.0100","275"
"00678","群益NBI生技","312689","7812981","24.99","24.99","24.97","24.99","-0.2100","992"
"00680L","元大美債20正2","7286414","85802053","11.78","11.80","11.75","11.80","0.0900","1084"
"00681R","元大美債20反1","211030","3795140","17.98","18.02","17.97","18.00","-0.0900","42"
"00682U","期元大美元指數","98001","1989650","20.31","20.31","20.27","20.31","-0.0700","38"
"00683L","期元大美元指正2","1413059","29772653","21.07","21.09","21.05","21.09","-0.1900","287"
"00684R","期元大美元指反1","22000","357770","16.26","16.27","16.25","16.25","0.0000","6"
"00685L","群益臺灣加權正2","131990","5545897","42.00","42.30","41.87","41.95","0.3300","59"
"00686R","群益臺灣加權反1","416464","1455054","3.50","3.51","3.48","3.51","0.0000","35"
"00688L","國泰20年美債正2","972000","11367260","11.69","11.72","11.68","11.71","0.0800","147"
