證券代號,證券名稱,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
"0050","元大台灣50","3712000","449600350","121.25","121.65","120.90","121.00","0.0000","2159"
"0051","元大中型100","23000","1332800","57.80","58.00","57.80","57.95","0.1500","21"
"0052","富邦科技","207000","22531150","109.25","109.25","108.65","108.70","0.1000","161"
"0053","元大電子","4000","243950","60.95","61.10","60.95","60.95","0.6500","4"
"0055","元大MSCI金融","81000","1784060","22.02","22.05","21.96","22.05","0.1200","68"
"0056","元大高股息","12600000","358744220","28.45","28.52","28.42","28.50","0.0700","5364"
"0057","富邦摩台","2000","175750","87.95","87.95","87.80","87.80","0.1000","2"
"0061","元大寶滬深","81000","1582220","19.59","19.60","19.45","19.52","-0.0600","49"
"006203","元大MSCI台灣","3000","175900","58.65","58.65","58.60","58.60","0.1000","3"
"006204","永豐臺灣加權","22000","1756850","80.00","80.00","79.85","79.85","0.2500","4"
"006205","富邦上証","920000","29782140","32.50","32.50","32.28","32.38","0.0800","83"
"006206","元大上證50","496000","15153350","30.74","30.81","30.39","30.61","0.0600","49"
"006207","復華滬深","53000","1364710","25.82","25.82","25.67","25.72","-0.0100","9"
"006208","富邦台50","2206000","154569500","70.05","70.30","69.95","70.05","0.1000","1224"
"00625K","富邦上証+R","","","","","","","0.0000",""
"00631L","元大台灣50正2","2191000","257012200","117.45","118.10","116.75","117.35","0.7500","655"
"00632R","元大台灣50反1","90714000","472923010","5.22","5.23","5.19","5.22","-0.0100","3407"
"00633L","富邦上証正2","6433000","249788760","39.16","39.35","38.37","39.06","0.0600","1766"
"00634R","富邦上証反1","1082000","4782960","4.42","4.44","4.42","4.42","0.0100","12"
"00635U","期元大S&P黃金","603000","15222350","25.32","25.34","25.19","25.25","-0.1600","220"
"00636","國泰中國A50","891000","19269600","21.74","21.77","21.48","21.71","0.0200","334"
"00636K","國泰中國A50+U","200","1424","7.12","7.12","7.12","7.12","-0.0100","2"
"00637L","元大滬深300正2","74471000","1139755440","15.42","15.50","15.13","15.39","-0.0100","8085"
"00638R","元大滬深300反1","45000","420090","9.28","9.37","9.28","9.31","-0.0200","11"
"00639","富邦深100","870000","11528920","13.45","13.45","13.22","13.26","-0.0700","81"
"00640L","富邦日本正2","123000","3646840","29.70","29.70","29.60","29.62","0.2400","51"
"00641R","富邦日本反1","139000","1294010","9.32","9.32","9.30","9.32","-0.0400","34"
"00642U","期元大S&P石油","8591000","146161850","17.02","17.05","16.97","17.00","0.2000","1710"
"00643","群益深証中小","311000","4823950","15.59","15.60","15.44","15.50","-0.0600","54"
"00643K","群益深証中小+R","","","","","","","0.0000",""
"00645","富邦日本","17000","451030","26.53","26.57","26.51","26.56","0.1400","11"
"00646","元大S&P500","999000","38657910","38.68","38.76","38.66","38.68","0.0100","356"
"00647L","元大S&P500正2","211000","11630900","55.10","55.25","55.05","55.10","0.0000","37"
"00648R","元大S&P500反1","7016000","49852970","7.10","7.11","7.09","7.11","0.0000","104"
"00650L","復華香港正2","2931000","41218060","14.00","14.12","13.98","14.11","0.1700","512"
"00651R","復華香港反1","78000","633120","8.11","8.14","8.08","8.14","-0.0400","16"
"00652","富邦印度","138000","3993400","28.96","28.98","28.90","28.91","-0.0500","77"
"00653L","富邦印度正2","421000","17424110","41.57","41.57","41.29","41.31","-0.2100","92"
"00654R","富邦印度反1","46000","373860","8.12","8.14","8.12","8.13","0.0000","10"
"00655L","國泰中國A50正2","3121000","85622400","27.71","27.82","27.08","27.60","-0.0100","665"
"00656R","國泰中國A50反1","736000","6142760","8.29","8.38","8.28","8.31","0.0000","23"
"00657","國泰日經225","5000","165430","33.05","33.12","33.05","33.09","0.1900","4"
"00657K","國泰日經225+U","200","2170","10.85","10.85","10.85","10.85","0.0600","2"
"00660","元大歐洲50","58000","1805610","31.20","31.20","31.12","31.12","-0.0200","5"
"00661","元大日經225","3000","106450","35.47","35.50","35.47","35.50","0.2700","3"
