證券代號,證券名稱,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
"0050","元大台灣50","4652271","544828139","117.35","117.35","116.80","117.20","-0.5000","13074"
"0051","元大中型100","31063","1794331","57.90","57.90","57.65","57.75","-0.1500","162"
"0052","富邦科技","194764","19521381","100.30","100.40","99.95","100.25","-0.4500","334"
"0053","元大電子","5136","300072","58.60","58.60","58.55","58.55","-0.2000","964"
"0055","元大MSCI金融","93699","2096569","22.40","22.40","22.33","22.38","-0.0100","239"
"0056","元大高股息","11700143","331715503","28.38","28.42","28.28","28.42","-0.0200","9788"
"0057","富邦摩台","5989","508981","85.20","85.20","85.05","85.05","-0.3000","973"
"0061","元大寶滬深","111663","2123864","19.10","19.10","18.96","18.96","-0.1400","557"
"006203","元大MSCI台灣","3478","196927","56.80","56.80","56.75","56.75","-0.0500","779"
"006204","永豐臺灣加權","23620","1852171","78.50","78.50","78.45","78.45","-0.2500","973"
"006205","富邦上証","859402","27420878","32.19","32.22","31.87","31.92","-0.2300","133"
"006206","元大上證50","20690","622177","30.05","30.16","30.04","30.16","-0.1800","531"
"006207","復華滬深","104594","2622988","25.15","25.26","25.00","25.05","-0.1600","959"
"006208","富邦台50","3721688","252354518","67.85","67.95","67.60","67.85","-0.2000","7409"
"00625K","富邦上証+R","","","","","","","0.0000",""
"00631L","元大台灣50正2","2160876","243255234","112.50","113.00","112.15","112.65","-1.1000","1869"
"00632R","元大台灣50反1","74901078","397468996","5.31","5.32","5.29","5.30","0.0200","2727"
"00633L","富邦上証正2","4756916","181697021","38.43","38.51","37.95","38.01","-0.8100","1233"
"00634R","富邦上証反1","70000","313540","4.46","4.49","4.46","4.49","0.0500","23"
"00635U","期元大S&P黃金","669466","17061407","25.47","25.50","25.46","25.47","0.3800","267"
"00636","國泰中國A50","3645309","78240070","21.57","21.58","21.40","21.50","-0.1100","733"
"00636K","國泰中國A50+U","200","1394","6.97","6.97","6.97","6.97","-0.0500","2"
"00637L","元大滬深300正2","47585934","716438994","15.16","15.18","14.96","14.99","-0.3100","6081"
"00638R","元大滬深300反1","73000","692030","9.45","9.50","9.45","9.47","0.0800","16"
"00639","富邦深100","941844","11884004","12.66","12.66","12.58","12.64","-0.0500","480"
"00640L","富邦日本正2","317053","10214899","32.18","32.26","32.18","32.19","-0.5100","63"
"00641R","富邦日本反1","429066","3853404","8.97","8.99","8.97","8.99","0.0700","109"
"00642U","期元大S&P石油","26182620","397030388","15.20","15.22","15.14","15.15","-0.8800","6142"
"00643","群益深証中小","456796","6722602","14.77","14.80","14.67","14.68","-0.0900","1046"
"00643K","群益深証中小+R","","","","","","","0.0000",""
"00645","富邦日本","56569","1567094","27.78","27.78","27.69","27.69","-0.2100","143"
"00646","元大S&P500","619898","24290991","39.24","39.24","39.16","39.20","-0.3700","489"
"00647L","元大S&P500正2","101315","5645637","55.80","55.80","55.60","55.80","-1.1500","72"
"00648R","元大S&P500反1","2116000","14985710","7.08","7.09","7.08","7.08","0.0500","123"
"00650L","復華香港正2","12724721","163387010","13.01","13.02","12.73","12.79","-0.5600","2131"
"00651R","復華香港反1","1439050","12252327","8.49","8.55","8.48","8.53","0.1800","81"
"00652","富邦印度","354139","10542771","29.99","29.99","29.72","29.76","-0.1700","242"
"00653L","富邦印度正2","436022","18862407","43.40","43.42","43.15","43.39","-0.3000","170"
"00654R","富邦印度反1","101000","804850","7.96","7.98","7.96","7.97","0.0400","20"
"00655L","國泰中國A50正2","1589455","42711265","27.01","27.07","26.70","26.78","-0.5700","512"
"00656R","國泰中國A50反1","308000","2598400","8.41","8.45","8.41","8.43","0.0700","25"
"00657","國泰日經225","144730","4985050","34.46","34.47","34.44","34.44","-0.3400","736"
"00657K","國泰日經225+U","200","2240","11.20","11.20","11.20","11.20","-0.1100","2"
"00660","元大歐洲50","3386","106304","31.32","31.36","31.32","31.36","-0.3700","544"
"00661","元大日經225","3944","144829","36.98","36.98","36.92","36.92","-0.4000","942"
"00662","富邦NASDAQ","1251153","64705406","52.00","52.00","51.65","51.70","-0.6000","603"
