證券代號,證券名稱,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
"0050","元大台灣50","3056000","368649200","120.65","121.05","120.15","120.60","0.2000","1788"
"0051","元大中型100","21000","1196050","56.70","57.25","56.70","56.80","-0.1000","19"
"0052","富邦科技","186000","20061500","108.90","108.90","107.40","108.10","0.4500","175"
"0053","元大電子","3000","181050","60.40","60.40","60.25","60.40","0.0500","3"
"0055","元大MSCI金融","120000","2625690","21.79","21.95","21.79","21.89","0.0500","47"
"0056","元大高股息","12078000","339501050","28.06","28.23","28.05","28.15","0.0900","4414"
"0057","富邦摩台","2000","175200","87.65","87.65","87.55","87.55","0.2500","2"
"0061","元大寶滬深","56000","1064490","19.00","19.15","19.00","19.01","0.0100","15"
"006203","元大MSCI台灣","2000","116650","58.30","58.35","58.30","58.35","0.1500","2"
"006204","永豐臺灣加權","22000","1734900","79.15","79.15","78.75","78.85","0.2000","4"
"006205","富邦上証","1029000","32605870","31.77","31.90","31.52","31.68","0.0600","247"
"006206","元大上證50","62000","1862780","30.18","30.18","30.00","30.05","0.0200","26"
"006207","FH滬深","41000","1024690","25.18","25.18","24.97","25.01","0.0500","9"
"006208","富邦台50","1674000","116614700","69.80","70.00","69.45","69.80","0.2000","743"
"00625K","富邦上証+R","","","","","","","0.0000",""
"00631L","元大台灣50正2","2397000","276277600","115.65","116.15","114.30","115.45","0.9500","1255"
"00632R","元大台灣50反1","113466000","597516400","5.27","5.29","5.24","5.27","-0.0100","3742"
"00633L","富邦上証正2","8976000","347506730","38.55","39.13","38.35","38.39","0.2200","1982"
"00634R","富邦上証反1","850000","3777370","4.45","4.47","4.41","4.47","0.0100","27"
"00635U","期元大S&P黃金","248000","6194740","25.02","25.02","24.94","24.95","0.0900","79"
"00636","國泰中國A50","464000","9972120","21.49","21.62","21.42","21.44","0.0700","114"
"00636K","國泰中國A50+U","200","1414","7.07","7.07","7.07","7.07","0.0500","2"
"00637L","元大滬深300正2","76423000","1165029720","15.18","15.41","15.10","15.12","0.1000","8709"
"00638R","元大滬深300反1","371000","3478090","9.33","9.40","9.30","9.40","-0.0100","22"
"00639","富邦深100","570000","7408860","12.97","13.06","12.97","12.99","0.0300","62"
"00640L","富邦日本正2","238000","6927760","29.04","29.38","29.00","29.35","0.5700","96"
"00641R","富邦日本反1","485000","4562780","9.42","9.44","9.38","9.38","-0.1100","83"
"00642U","期元大S&P石油","12717000","197457050","15.51","15.57","15.49","15.52","0.2100","2060"
"00643","群益深証中小","281000","4242700","15.03","15.27","15.03","15.16","0.0700","45"
"00643K","群益深証中小+R","","","","","","","0.0000",""
"00645","富邦日本","41000","1080280","26.30","26.41","26.30","26.41","0.2800","29"
"00646","元大S&P500","585000","21964820","37.50","37.62","37.50","37.61","0.1500","220"
"00647L","元大S&P500正2","169000","8836400","52.15","52.45","52.15","52.40","0.3000","56"
"00648R","元大S&P500反1","1298000","9448440","7.29","7.29","7.27","7.28","-0.0200","77"
"00650L","FH香港正2","17456000","239724220","13.60","14.08","13.55","13.63","0.5900","2413"
"00651R","FH香港反1","922000","7569720","8.28","8.28","8.11","8.24","-0.2100","170"
"00652","富邦印度","69000","1918860","27.76","27.88","27.76","27.84","0.0800","50"
"00653L","富邦印度正2","172000","6675210","38.62","39.03","38.62","38.89","0.2900","106"
"00654R","富邦印度反1","148000","1246210","8.44","8.44","8.41","8.42","-0.0200","9"
"00655L","國泰中國A50正2","2746000","75169520","27.32","27.70","27.13","27.15","0.1200","742"
"00656R","國泰中國A50反1","546000","4560080","8.35","8.38","8.30","8.38","-0.0200","26"
"00657","國泰日經225","120000","3957900","32.88","33.02","32.88","33.02","0.2700","7"
"00657K","國泰日經225+U","200","2168","10.84","10.84","10.84","10.84","0.0900","2"
"00660","元大歐洲50","3000","90880","30.30","30.30","30.28","30.28","0.0200","3"
"00661","元大日經225","1000","35260","35.26","35.26","35.26","35.26","0.3600","1"
"00662","富邦NASDAQ","1043000","51790470","49.56","49.73","49.51","49.71","0.0300","287"
"00663L","國泰臺灣加權正2","","","","","","","0.0000",""
"00664R","國泰臺灣加權反1","4595000","27300870","5.93","5.97","5.92","5.94","-0.0200","501"
"00665L","富邦恒生國企正2","56562000","485776330","8.49","8.81","8.45","8.52","0.4600","4849"
"00666R","富邦恒生國企反1","312000","4449570","14.33","14.40","14.05","14.31","-0.3700","96"
"00668","國泰美國道瓊","13000","467370","35.91","35.98","35.91","35.98","0.1800","10"
"00668K","國泰美國道瓊+U","200","2364","11.82","11.82","11.82","11.82","0.0100","2"
"00669R","國泰美國道瓊反1","5037000","41289970","8.19","8.20","8.19","8.19","-0.0200","206"
"00670L","富邦NASDAQ正2","1398000","87474450","62.55","62.70","62.40","62.70","0.0500","453"
"00671R","富邦NASDAQ反1","8395000","48024880","5.73","5.73","5.71","5.72","0.0000","1035"
"00673R","期元大S&P原油反1","20857000","191509810","9.19","9.21","9.15","9.20","-0.1000","1576"
"00674R","期元大S&P黃金反1","821000","9892270","12.03","12.07","12.02","12.07","-0.0300","131"
